step,group,strategy,timeframe,win_rate_pct,total_trades,profit_factor,max_drawdown_R,net_R,avg_R,wins,losses,open
4,Filtered Pairs,"cvd_divergence+pinbar | vwap",1m,49.9,633,3.09,12.73,662.60,1.05,316,317,1
4,Filtered Pairs,"cvd_divergence+pinbar | vwap",5m,55.1,136,3.16,7.82,131.64,0.97,75,61,2
4,Filtered Pairs,"cvd_divergence+pinbar | vwap",15m,53.8,26,3.40,3.10,28.83,1.11,14,12,0
4,Filtered Pairs,"cvd_divergence+pinbar | vwap",1h,66.7,9,9.06,3.00,24.19,2.69,6,3,0
4,Filtered Pairs,"cvd_divergence+pinbar | vwap",4h,0.0,1,0.00,1.00,-1.00,-1.00,0,1,0
4,Filtered Pairs,"cvd_divergence+pinbar | vpvr",1m,44.3,296,2.34,13.97,221.77,0.75,131,165,7
4,Filtered Pairs,"cvd_divergence+pinbar | vpvr",5m,53.6,56,2.34,6.00,34.95,0.62,30,26,3
4,Filtered Pairs,"cvd_divergence+pinbar | vpvr",15m,12.5,8,0.41,5.00,-4.13,-0.52,1,7,0
4,Filtered Pairs,"cvd_divergence+pinbar | vpvr",1h,37.5,8,3.08,2.00,10.40,1.30,3,5,0
4,Filtered Pairs,"fibonacci+market_structure | levels",1m,86.4,469,2.21,5.33,77.19,0.16,405,64,0
4,Filtered Pairs,"fibonacci+market_structure | levels",5m,82.1,78,1.29,3.41,4.00,0.05,64,14,0
4,Filtered Pairs,"fibonacci+market_structure | levels",15m,87.1,31,1.85,1.98,3.38,0.11,27,4,0
4,Filtered Pairs,"fibonacci+market_structure | levels",1h,62.5,8,0.33,2.77,-2.01,-0.25,5,3,0
4,Filtered Pairs,"fibonacci+market_structure | levels",4h,100.0,2,∞,0.00,0.61,0.30,2,0,0
4,Filtered Pairs,"fibonacci+market_structure | vwap",1m,86.9,735,2.33,5.76,127.68,0.17,639,96,0
4,Filtered Pairs,"fibonacci+market_structure | vwap",5m,84.7,111,1.61,4.24,10.43,0.09,94,17,0
4,Filtered Pairs,"fibonacci+market_structure | vwap",15m,89.6,48,2.51,2.93,7.54,0.16,43,5,0
4,Filtered Pairs,"fibonacci+market_structure | vwap",1h,72.7,11,0.53,2.38,-1.40,-0.13,8,3,0
4,Filtered Pairs,"fibonacci+market_structure | vwap",4h,100.0,3,∞,0.00,0.81,0.27,3,0,0
4,Filtered Pairs,"fibonacci+market_structure | vpvr",1m,65.2,23,0.45,5.81,-4.39,-0.19,15,8,0
4,Filtered Pairs,"fibonacci+market_structure | vpvr",5m,66.7,3,0.10,1.00,-0.90,-0.30,2,1,0
4,Filtered Pairs,"fibonacci+market_structure | vpvr",1h,0.0,1,0.00,1.00,-1.00,-1.00,0,1,0
4,Filtered Pairs,"fibonacci+pinbar | levels",1m,48.4,1417,1.47,49.04,343.65,0.24,686,731,1
4,Filtered Pairs,"fibonacci+pinbar | levels",5m,46.6,348,1.32,31.70,59.32,0.17,162,186,0
4,Filtered Pairs,"fibonacci+pinbar | levels",15m,43.4,76,1.08,10.32,3.54,0.05,33,43,0
4,Filtered Pairs,"fibonacci+pinbar | levels",1h,33.3,27,0.59,14.61,-7.42,-0.27,9,18,0
4,Filtered Pairs,"fibonacci+pinbar | levels",4h,0.0,3,0.00,3.00,-3.00,-1.00,0,3,0
4,Filtered Pairs,"fibonacci+pinbar | vwap",1m,50.8,1385,1.54,34.81,368.95,0.27,704,681,1
4,Filtered Pairs,"fibonacci+pinbar | vwap",5m,50.8,305,1.53,30.60,79.45,0.26,155,150,0
4,Filtered Pairs,"fibonacci+pinbar | vwap",15m,35.6,59,0.52,19.20,-18.22,-0.31,21,38,0
4,Filtered Pairs,"fibonacci+pinbar | vwap",1h,47.4,19,0.43,8.00,-5.72,-0.30,9,10,0
