time,open,high,low,close,MA Fast,MA Slow,Volume,Volume MA
1751459520,3345.83,3349.21,3343.08,3347.59,3344.238960775042,3341.7725297475404,4044,2697
1751460420,3347.52,3351.24,3343.52,3345.36,3344.4631686200337,3342.098663406855,3870,2729.65
1751461320,3345.28,3346.59,3342.14,3344.06,3344.3825348960268,3342.2769667335047,4340,2832.4
1751462220,3343.96,3345.79,3341.52,3342.8,3344.0660279168214,3342.3245152122768,3583,2899.85
1751463120,3342.7,3344.68,3339.36,3340.74,3343.400822333457,3342.180468374797,4372,3011.8
1751464020,3340.74,3340.82,3334.98,3336.16,3341.9526578667655,3341.6331530679972,4714,3099.3
1751464920,3336.17,3337.82,3334.22,3334.59,3340.4801262934125,3340.992866425452,3736,3159.5
1751465820,3334.6,3339.54,3334.04,3338.63,3340.11010103473,3340.7780603867745,3821,3208.1
1751466720,3338.69,3342.54,3337.13,3341.55,3340.3980808277843,3340.8482367152496,3219,3223.1
1751467620,3341.58,3343.54,3339.11,3343.15,3340.9484646622273,3341.0574879229544,3321,3289.65
1751468520,3343.14,3343.79,3339.45,3340.08,3340.7747717297816,3340.968625384504,3255,3346.9
1751469420,3339.82,3342.65,3338.77,3342.4,3341.099817383825,3341.098750349549,3223,3413.65
1751470320,3342.42,3343.35,3340.25,3341.88,3341.25585390706,3341.1697730450446,2477,3439.85
1751471220,3341.9,3343.22,3339.81,3342.16,3341.436683125648,3341.259793677313,2602,3471
1751472120,3342.2,3347.19,3341.84,3346.19,3342.3873465005186,3341.7079942521027,2580,3456.6
1751473020,3346.21,3348.16,3345.68,3346.48,3343.2058772004148,3342.141812956457,2401,3452.25
1751473920,3346.44,3348.35,3344.27,3347.47,3344.0587017603316,3342.626193596779,2260,3466
1751474820,3347.45,3349.88,3346.87,3349.63,3345.172961408265,3343.262903269799,2504,3448.45
1751475720,3349.64,3350.43,3348.16,3348.96,3345.9303691266123,3343.780821154363,1904,3384.5
1751476620,3349.02,3349.77,3347.44,3348.16,3346.3762953012897,3344.1789283221483,1995,3211.05
1751477520,3348.1,3348.96,3347.52,3348.38,3346.777036241032,3344.560843929226,1367,3077.2
1751478420,3348.31,3349.92,3347.65,3349.37,3347.2956289928256,3344.99803993566,1558,2961.6
